Cont,ID_partener,Debit,Credit,Balanta_valuta,Valuta,Data_scadenta,tipul_facturi,State,ref,data
121000,IMPULS - LEASING ROMANIA IFN S.A.,29150.9,,,RON,2021-6-29,entry,draft,15926152,2021-6-29
401000,ROMRADIATOARE SA,,221231.96,,RON,2021-6-4,entry,draft,24665,2021-6-4
121000,ROMRADIATOARE SA,221231.96,,,RON,2021-6-4,entry,draft,24665,2021-6-4
401000,EBMPAPST HEATING SYSTEMS BV,,145392.83,-29511.2,EUR,2021-5-7,entry,draft,21140730,2021-5-7
121000,EBMPAPST HEATING SYSTEMS BV,145392.83,,29511.2,EUR,2021-5-7,entry,draft,21140730,2021-5-7
401000,EBMPAPST HEATING SYSTEMS BV,,341795.72,-69376.2,EUR,2021-6-30,entry,draft,21141041,2021-6-30
121000,EBMPAPST HEATING SYSTEMS BV,341795.72,,69376.2,EUR,2021-6-30,entry,draft,21141041,2021-6-30
401000,EBMPAPST HEATING SYSTEMS BV,,371013.62,-75306.72,EUR,2021-4-30,entry,draft,21140690,2021-4-30
121000,EBMPAPST HEATING SYSTEMS BV,371013.62,,75306.72,EUR,2021-4-30,entry,draft,21140690,2021-4-30
401000,EMMETI SPA,,1161.12,-235.68,EUR,2021-6-17,entry,draft,40025397,2021-6-17
121000,EMMETI SPA,1161.12,,235.68,EUR,2021-6-17,entry,draft,40025397,2021-6-17
401000,EVINOX ENERGY LTD,,1.72,-0.3,GBP,2021-4-28,entry,draft,111957,2021-4-28
121000,EVINOX ENERGY LTD,1.72,,0.3,GBP,2021-4-28,entry,draft,111957,2021-4-28
401000,EVINOX ENERGY LTD,,173.33,-30.21,GBP,2021-6-1,entry,draft,112154,2021-6-1
121000,EVINOX ENERGY LTD,173.33,,30.21,GBP,2021-6-1,entry,draft,112154,2021-6-1
401000,EVINOX ENERGY LTD,,608.16,-106,GBP,2021-4-23,entry,draft,BV0900I0044684,2021-4-23
121000,EVINOX ENERGY LTD,608.16,,106,GBP,2021-4-23,entry,draft,BV0900I0044684,2021-4-23
401000,EVINOX ENERGY LTD,,659.8,-115,GBP,2021-3-31,entry,draft,111686,2021-3-31
121000,EVINOX ENERGY LTD,659.8,,115,GBP,2021-3-31,entry,draft,111686,2021-3-31
401000,EVINOX ENERGY LTD,,789.75,-137.65,GBP,2021-6-2,entry,draft,112160,2021-6-2
121000,EVINOX ENERGY LTD,789.75,,137.65,GBP,2021-6-2,entry,draft,112160,2021-6-2
401000,EVINOX ENERGY LTD,,890.9,-155.28,GBP,2021-6-18,entry,draft,112212,2021-6-18
121000,EVINOX ENERGY LTD,890.9,,155.28,GBP,2021-6-18,entry,draft,112212,2021-6-18
401000,EVINOX ENERGY LTD,,1721.22,-300,GBP,2021-6-28,entry,draft,112260,2021-6-28
121000,EVINOX ENERGY LTD,1721.22,,300,GBP,2021-6-28,entry,draft,112260,2021-6-28
401000,EVINOX ENERGY LTD,,4571.79,-796.84,GBP,2021-5-18,entry,draft,112062,2021-5-18
121000,EVINOX ENERGY LTD,4571.79,,796.84,GBP,2021-5-18,entry,draft,112062,2021-5-18
401000,EVINOX ENERGY LTD,,26473.98,-4614.28,GBP,2021-6-2,entry,draft,112155,2021-6-2
121000,EVINOX ENERGY LTD,26473.98,,4614.28,GBP,2021-6-2,entry,draft,112155,2021-6-2
401000,FRESE A S,,2272.69,-461.3,EUR,2021-6-30,entry,draft,21SFA0618,2021-6-30
121000,FRESE A S,2272.69,,461.3,EUR,2021-6-30,entry,draft,21SFA0618,2021-6-30
401000,FRESE A S,,8887.77,-1804,EUR,2021-4-23,entry,draft,21SFA03692,2021-4-23
121000,FRESE A S,8887.77,,1804,EUR,2021-4-23,entry,draft,21SFA03692,2021-4-23
401000,FRESE A S,,152737.05,-31001.9,EUR,2021-6-4,entry,draft,21SFA05105,2021-6-4
121000,FRESE A S,152737.05,,31001.9,EUR,2021-6-4,entry,draft,21SFA05105,2021-6-4
401000,HUBA CONTROL AG,,1163.93,-236.25,EUR,2021-6-28,entry,draft,8355322,2021-6-28
121000,HUBA CONTROL AG,1163.93,,236.25,EUR,2021-6-28,entry,draft,8355322,2021-6-28
401000,HUBA CONTROL AG,,29402.55,-5968,EUR,2021-6-16,entry,draft,8354303,2021-6-16
121000,HUBA CONTROL AG,29402.55,,5968,EUR,2021-6-16,entry,draft,8354303,2021-6-16
401000,POPPELMANN GMBH CO KG,,529.37,-107.45,EUR,2021-6-1,entry,draft,321064010,2021-6-1
121000,POPPELMANN GMBH CO KG,529.37,,107.45,EUR,2021-6-1,entry,draft,321064010,2021-6-1
401000,SIKA DR SIEBERT KUHN GMBH CO,,42320.35,-8590,EUR,2021-6-22,entry,draft,31443463,2021-6-22
121000,SIKA DR SIEBERT KUHN GMBH CO,42320.35,,8590,EUR,2021-6-22,entry,draft,31443463,2021-6-22
401000,SWEP INTERNATIONAL AB,,295.6,-60,EUR,2021-6-28,entry,draft,10126201,2021-6-28
121000,SWEP INTERNATIONAL AB,295.6,,60,EUR,2021-6-28,entry,draft,10126201,2021-6-28
401000,SWEP INTERNATIONAL AB,,2586.52,-525,EUR,2021-6-1,entry,draft,10120469,2021-6-1
121000,SWEP INTERNATIONAL AB,2586.52,,525,EUR,2021-6-1,entry,draft,10120469,2021-6-1
401000,SWEP INTERNATIONAL AB,,2931.39,-595,EUR,2021-6-2,entry,draft,10120738,2021-6-2
121000,SWEP INTERNATIONAL AB,2931.39,,595,EUR,2021-6-2,entry,draft,10120738,2021-6-2
401000,SWEP INTERNATIONAL AB,,4249.03,-862.45,EUR,2021-5-25,entry,draft,10118728,2021-5-25
121000,SWEP INTERNATIONAL AB,4249.03,,862.45,EUR,2021-5-25,entry,draft,10118728,2021-5-25
401000,SWEP INTERNATIONAL AB,,4698.5,-953.68,EUR,2021-6-28,entry,draft,10126307,2021-6-28
121000,SWEP INTERNATIONAL AB,4698.5,,953.68,EUR,2021-6-28,entry,draft,10126307,2021-6-28
