Nume,Categorie,Vanzare_ok,Achizitie_ok,Unitate,Cost,Tip_produs
 TERMOMETRU 3G,Obiecte de inventar,False,True,Units,42.01,product
CAP DE TRAGERE 10 MM,Obiecte de inventar,False,True,Units,1064.7,product
CAP DE TRAGERE 15 MM,Obiecte de inventar,False,True,Units,1123.6,product
CAP DE TRAGERE 18 MM,Obiecte de inventar,False,True,Units,1191.56,product
CAP DE TRAGERE 22 MM,Obiecte de inventar,False,True,Units,1409.03,product
COTIERE SUDOR PIELE,Obiecte de inventar,False,True,Units,21.86,product
MANUSI IGNIFUGE PIELE,Obiecte de inventar,False,True,Units,10,product
OCHELARI NEW LINE POLICARBONAT,Obiecte de inventar,False,True,Units,3.85,product
SORT SUDOR PIELE,Obiecte de inventar,False,True,Units,55.8,product
MANUSI PIELE DUBLA INTARITURA,Obiecte de inventar,False,True,Units,5.92,product
CHEIE FIXA SIMPLA 10,Obiecte de inventar,False,True,Units,3.77,product
CHEIE FIXA SIMPLA 30,Obiecte de inventar,False,True,Units,18.64,product
CHEIE FIXA SIMPLA 36,Obiecte de inventar,False,True,Units,22.52,product
CHEIE FIXA SIMPLA 24,Obiecte de inventar,False,True,Units,13.23,product
CHEIE FIXA 21X23,Obiecte de inventar,False,True,Units,11.44,product
MONITOR DELL LED GAMING 23.8 FULL HD GRI,Obiecte de inventar,False,True,Units,492.775,product
DOCKING STATION LENOVO THINKPAD,Obiecte de inventar,False,True,Units,612.53,product
FLIPCHART MAGNETIC 100*70,Obiecte de inventar,False,True,Units,367.23,product
MASINA GAURIT INSURUBAT,Obiecte de inventar,False,True,Units,536.12,product
TAMBUR 4P 25 M 3000W,Obiecte de inventar,False,True,Units,96.64,product
MENGHINA DE BANC 10,Obiecte de inventar,False,True,Units,74.79,product
MENGHINA DE BANC 12,Obiecte de inventar,False,True,Units,83.19,product
TOPEX CHEIE TEVI 45 420M,Obiecte de inventar,False,True,Units,47.06,product
MENGHINA RAPIDA 150 MM,Obiecte de inventar,False,True,Units,25.125,product
MENGHINA DE BANC 60,Obiecte de inventar,False,True,Units,22.69,product
CUTIE GRI PLATIC 400*300*120 SET 16 CUTII,Obiecte de inventar,False,True,Units,480.27,product
CUTIE GRI PLATIC 600*400*1200 SET 8 CUTII,Obiecte de inventar,False,True,Units,359.5,product
CUTIE GRI PLASTIC 100*160*75 SET 24 CUTII,Obiecte de inventar,False,True,Units,228.44,product
JAWS KVT,Obiecte de inventar,False,True,Units,133.915,product
STALPISOR TELESCOPIC PENTRU RAMA,Obiecte de inventar,False,True,Units,4.871,product
BAZA PICIOR DIN METAL,Obiecte de inventar,False,True,Units,10.823,product
RAMA PENTRU AFISAJ,Obiecte de inventar,False,True,Units,4.428,product
PANTOFI PROTECTIE,Obiecte de inventar,False,True,Units,85,product
FISET METALIC 4 POLITE 90*40*180 CM,Obiecte de inventar,False,True,Units,817.185,product
DISPOZITIV MAGNETIC PENTRU SPAN,Obiecte de inventar,False,True,Units,124,product
FIERBATOR DAEWOO,Obiecte de inventar,False,True,Units,64.03,product
PISTOL AER 2 CAPETE CU FURTUN 10 M,Obiecte de inventar,False,True,Units,306.5,product
CLESTE NITURI PIULITA PNEUMATIC,Obiecte de inventar,False,True,Units,1800.26,product
EXPANDOR MANUAL PT TEVI,Obiecte de inventar,False,True,Units,1714.46,product
DEBAVURATOR MANUAL,Obiecte de inventar,False,True,Units,406.65,product
CLESTE 151230,Obiecte de inventar,False,True,Units,182.43,product
FORMATORI SI CONTRAPIESA D10,Obiecte de inventar,False,True,Units,934.04,product
JACHETA PROTECTIE,Obiecte de inventar,False,True,Units,53.1,product
PANTALON PROTECTIE,Obiecte de inventar,False,True,Units,63,product
TRICOU LUCRU,Obiecte de inventar,False,True,Units,30,product
MASINA GAURIT INSURUBAT,Obiecte de inventar,False,True,Units,536.12,product
TRUSA CHEI CLICHET,Obiecte de inventar,False,True,Units,167.23,product
SET 9 SURUBELNITE,Obiecte de inventar,False,True,Units,29.33,product
BURGHIU METAL IN TREPTE 8 - 35,Obiecte de inventar,False,True,Units,157.98,product
TELEMETRU LASER 3G,Obiecte de inventar,False,True,Units,100,product
COROANE BURGHIE,Obiecte de inventar,False,True,Units,16.8,product
COMPRESOR STANLEY 50 L 2HP 8 BAR,Obiecte de inventar,False,True,Units,750,product
BIROU TEMPRA KTSS,Obiecte de inventar,False,True,Units,284.316666666667,product
DULAP TIP 1,Obiecte de inventar,False,True,Units,281.5,product
PANTOFI PROTECTIE,Obiecte de inventar,False,True,Units,85,product
CLESTE PAPAGAL,Obiecte de inventar,False,True,Units,26.81,product
TOPEX CHEIE TIP S,Obiecte de inventar,False,True,Units,31.94,product
ECHER ALUMINIU,Obiecte de inventar,False,True,Units,11.76,product
PILA SEMIROTUNDA,Obiecte de inventar,False,True,Units,10.84,product
PISTOL SILICON,Obiecte de inventar,False,True,Units,6.91,product
CIOCAN ZIDARIE,Obiecte de inventar,False,True,Units,16.72,product
RULETA OB INV,Obiecte de inventar,False,True,Units,5.41,product
ADAPTOR PIULITA SERTIZABILA,Obiecte de inventar,False,True,Units,282.26,product
SUBLER DIGITAL 150 MM,Obiecte de inventar,False,True,Units,130.205,product
SUBLER DIGITAL 300 MM,Obiecte de inventar,False,True,Units,341,product
CUREA DE RIDICARE,Obiecte de inventar,False,True,Units,142.015,product
ABUS CILINDRU D6PSN40/40,Obiecte de inventar,False,True,Units,71.34,product
ABUS CILINDRU D6PSN45/45,Obiecte de inventar,False,True,Units,75.55,product
ROLLBOX - CASETIERA,Obiecte de inventar,False,True,Units,294.116666666667,product
TELEFON GALAXY A52 5G,Obiecte de inventar,False,True,Units,1167.36,product
BURGHIU METAL DIF,Obiecte de inventar,False,True,Units,5.51692307692308,product
ECHER METALIC,Obiecte de inventar,False,True,Units,11.34,product
SET 19 BURGHIE METAL,Obiecte de inventar,False,True,Units,79.85,product
TAVA MAGNETICA,Obiecte de inventar,False,True,Units,12.44,product
INEL CU SURUB M12,Obiecte de inventar,False,True,Units,35.23,product
INEL CU PIULITA DE BLOCARE,Obiecte de inventar,False,True,Units,56.95,product
SCAUN FARA BRATE,Obiecte de inventar,False,True,Units,54.5993333333333,product
CHEIE FIXA SIMPLA 36,Obiecte de inventar,False,True,Units,22.52,product
CHEIE FIXA AUTO 20*22,Obiecte de inventar,False,True,Units,14.48,product
CHEIE FIXA SIMPLA 32,Obiecte de inventar,False,True,Units,24.32,product
CHEIE FIXA SIMPLA 34,Obiecte de inventar,False,True,Units,22.1,product
JACHETA PROTECTIE,Obiecte de inventar,False,True,Units,53.1,product
PANTALON PROTECTIE,Obiecte de inventar,False,True,Units,63,product
COS GUNOI CAPAC,Obiecte de inventar,False,True,Units,40.5,product
RADIO CEAS,Obiecte de inventar,False,True,Units,33.53,product
HOTPOINT ENTM18210W,Obiecte de inventar,False,True,Units,1360.5,product
POLAR LUCRU,Obiecte de inventar,False,True,Units,50.412,product
DISPOZITIV DE INDREPTAT TEAVA JAV 1036,Obiecte de inventar,False,True,Units,339.69,product
RUCSAC QILIVE,Obiecte de inventar,False,True,Units,125.21,product
IMPRIMANTA HP 5035,Obiecte de inventar,False,True,Units,1481.51,product
SISTEM AIO ADVANTECH 8 GB 128 GB SSD,Obiecte de inventar,False,True,Units,1504.2,product
PALAN MANUAL CU LANT 0.5TO,Obiecte de inventar,False,True,Units,372,product
SUPORTURI CU ROLE REGLABILE 2 BUC,Obiecte de inventar,False,True,Units,217.65,product
ROUTER WLESS DUAL BAND TP LINK ARCHER AX20,Obiecte de inventar,False,True,Units,420.16,product
SUPORT CU ROLA PT TEVI DEMA,Obiecte de inventar,False,True,Units,205.22,product
JACHETA PROTECTIE,Obiecte de inventar,False,True,Units,53.1,product
PANTALON PROTECTIE,Obiecte de inventar,False,True,Units,63,product
BANC DE LUCRU 1100*1390,Obiecte de inventar,False,True,Units,1526.09,product
SCARA SLIM 4 TREPTE,Obiecte de inventar,False,True,Units,226.05,product
TAMBUR 4P 40 M 3600W,Obiecte de inventar,False,True,Units,188.24,product
MASINA GAURIT GRS 120 LI BOS,Obiecte de inventar,False,True,Units,368.07,product
VENTILATOR PICIOR 45 W,Obiecte de inventar,False,True,Units,54.54,product
KIT JALUZEA,Obiecte de inventar,False,True,Units,221.01,product
