Nume,Descriere,Categorie,Pret,Cost,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,Tip_produs
APARAT DE CURATAT CU ABURI KOENIG NV6200,,Obiecte de inventar,1.0,421.0,True,True,Units,Units,,OBI00005,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Aparatoare Cooling 545x365mm_Izolatie CHHC,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00770,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
APPLE 12 MINI 64 GB 5G,,Obiecte de inventar,1.0,1915.1100000000001,True,True,Units,Units,,OBI00006,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ASPIRATOR HOOVER F SAC,,Obiecte de inventar,1.0,241.82,True,True,Units,Units,,OBI00007,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ATIPIC CABLU SIKA FLOW_MODEL RIVERLIGHT_BTHK 101-0112/X_SIKA (E_00686 fara EVI_00125),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00706,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Bagheta AG34SN B D 2 mm GALFLO,,Materii prime generale ,1.0,0.0,True,True,kg,kg,,E_200109,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BANC DE LUCRU 1100*1390,,Obiecte de inventar,1.0,1526.09,True,True,Units,Units,,OBI00008,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BANC LUCRU,,Obiecte de inventar,1.0,911.36,True,True,Units,Units,,OBI00009,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BANDA 16x 0.7_SERIA 5468 (1500ml/rola),,Materii prime generale ,1.0,0.0,True,True,m,m,,E_00180,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BANDA COLIER W2 25m / 8mm,,Materii prime – comp EVI,1.0,0.0,True,True,m,m,,EVI_00272,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BANDA PP_16x 0.7 mm.,,Ambalaje,1.0,0.0,True,True,m,m,,E_00489,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BANDA SPIRALATA PENTRU LEGAT CABLURI 15mm (=10 m),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,Maux_32332,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BARA HEXAGONALA ALAMA_CUZN39PB2 HA_HEX.17,,Add,1.0,0.0,True,True,Units,Units,,Mpr_02641,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BARA HEXAGONALA ALAMA_CUZN39PB2 HA_HEX.22x 4000_E,,Add,1.0,0.0,True,True,Units,Units,,E_00205,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BARA HEXAGONALA ALAMA_CUZN39PB2 HA_HEX.36_E,,Add,1.0,0.0,True,True,Units,Units,,E_04469,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"BARA HEXAGONALA_CUZN39PB3_CW614N_46xFAB_EN12164_DEFORMAT LA RECE, DETENSIONAT, FARA CARACT_alama",,Add,1.0,0.0,True,True,Units,Units,,E_00155,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"BARA HEXAGONALA_CUZN39PB3_CW614N_HEX 50x 3000 mm_ FARA CARACTERISTICI, EN12164_alama",,Add,1.0,0.0,True,True,Units,Units,,E_00211,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BAT. CU FIRE 10CM si folie - SAFT LS17500,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_200281,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BATERIE BTQR50 AKKU NIETER LI ION,,Obiecte de inventar,1.0,2159.15,True,True,Units,Units,,OBI00010,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
