Nume,Descriere,Categorie,Pret,Cost,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,Tip_produs
DOCKINK STATION LENOVO THINKPAD,,Obiecte de inventar,1.0,798.3100000000001,True,True,Units,Units,,OBI00065,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP ALAMA 1/2 inch_M,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00621,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP ALAMA 3/4 inch_F,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00622,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP ALAMA 3/8 M ( G3/8 inch),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00631,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP ETANS_EDVS M20 LGR_M20(2012375)_FI 20,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00236,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP ETANS _ EDVS M25  LGR_ M25( 2012383)_ FI 25 ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00657,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP ETANS_EDVS M32 LGR (2012 39 1)_FI 32,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00247,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP_HEAT METER (pt. varianta fara Heat Meter),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,Evi_00217,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP OBTURARE(COMPRESSION BLANKING DISC 22 MM_FL22CB),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00093,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP pentru REZERVOARE_INLOCUIESTE REZISTENTA_LAM IND.,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00335,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP PROTECTIE GPN 610 U 13,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200284,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP PROTECTIE GPN 620 U 22 B,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200286,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOP PROTECTIE GPN U 15 B,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200285,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"DRAIN COCK 1/2""_M_type A to BS 2879 ( robinet golire )_pentru Model 2018",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00387,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"DRAIN COCK 1/4"" (robinet golire TP Riverlight)_250008",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00130,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DULAP TIP 1,,Obiecte de inventar,1.0,294.12,True,True,Units,Units,,OBI00066,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DULAP TIP 2,,Obiecte de inventar,1.0,252.1,True,True,Units,Units,,OBI00067,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ECHER ALUMINIU,,Obiecte de inventar,1.0,11.76,True,True,Units,Units,,OBI00068,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ECHER METALIC,,Obiecte de inventar,1.0,11.34,True,True,Units,Units,,OBI00069,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ELECTROVALVA HONEYWELL 3/4 INCH CU 3 CAI VCZMG6000 _38SM0133,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00407,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ELECTROVALVA HONEYWELL CU ACTUATOR 3/4 INCH_VC6012MG6000/U_CU 3 CAI ( +cablul J23+Boiler ),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00056,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"ELECTROVALVA MUT cu 3 CAI 3/4"" +ACTUATOR-VMR20ESPDTCR230V-7.030.00369 (inloc. EVI_00056)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00409,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETA_Caution Hot Water,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00605,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETA Control Board CTP XR 250x46mm,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00715,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETA Control Board CTP XR ECO 250x46mm,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00714,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETA CU RASINA INSCRIPTIE EVINOX ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00082,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETA CU RASINA INSCRIPTIE EVINOX_XR ECO (Huba Flow+Royal pe DHW),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00609,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETA CU RASINA INSCRIPTIE EVINOX_XR (Huba Flow),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00610,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETA CU RASINA INSCRIPTIE FRESE,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00760,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ETICHETE BULINE QC PASS_E,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_31239,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP3R-1A-BL4/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP3R-1A-BL4/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP3R-1A-TL5/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP3R-1A-TL5/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP3R-1R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP3R-1R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT CTP3R-1R-TL1/1A,,All,1.0,0.0,True,True,Units,Units,,CTP3R-1R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP3R-2A-BL4/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP3R-2A-BL4/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP3R-2R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP3R-2R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP3R-2R-TL1/1A ,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP3R-2R-TL1/1A ,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP3R-3B-TL5/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP3R-3B-TL5/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP4A-1R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP4A-1R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP4R-1A-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP4R-1A-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP4R-1A-TL5/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP4R-1A-TL5/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP4R-1R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP4R-1R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP4R-2R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP4R-2R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP4R-3B-TL5/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP4R-3B-TL5/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP4R-7R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP4R-7R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R-1A-TL1 ,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R-1A-TL1 ,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R-1A-TL5/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R-1A-TL5/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R-1R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R-1R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R2-1A-TL1,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R2-1A-TL1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R2-1A-TL5/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R2-1A-TL5/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R2-1R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R2-1R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R2-2R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R2-2R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R2-2R-TL1/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R2-2R-TL1/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R2-4A-TL5/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R2-4A-TL5/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R-2A-TL5/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R-2A-TL5/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R-2R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R-2R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R-2R-TL5/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R-2R-TL5/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  CTP7R-7R-TL5/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,CTP7R-7R-TL5/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  FS-200C-2T-N/84,,Produse finite,1.0,0.0,True,True,Units,Units,,FS-200C-2T-N/84,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  HIU_PUCTP3R-1R-TL7/1A,,Semifabricate,1.0,0.0,True,True,Units,Units,,HIU_PUCTP3R-1R-TL7/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  HIU_PUCTP7R-1R-TL7/A,,Semifabricate,1.0,0.0,True,True,Units,Units,,HIU_PUCTP7R-1R-TL7/A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  MSP3R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,MSP3R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  MSP7R2-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,MSP7R2-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  MSP7R-TL1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,MSP7R-TL1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC1-040R-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC1-040R-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC2-030B-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC2-030B-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC2-040B-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC2-040B-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC2-050B-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC2-050B-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC2-070R-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC2-070R-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC3-050B-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC3-050B-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC3-060B-T1/13,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC3-060B-T1/13,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPC3-070B-T1/13,,Produse finite,1.0,0.0,True,True,Units,Units,,SPC3-070B-T1/13,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPH1-050R-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPH1-050R-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPH1-4R-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPH1-4R-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPH2-030B-T1,,Produse finite,1.0,0.0,True,True,Units,Units,,SPH2-030B-T1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPH3-060B-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPH3-060B-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  SPH3-070B-T1/12,,Produse finite,1.0,0.0,True,True,Units,Units,,SPH3-070B-T1/12,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W3R-1A-4R1-T5/PX,,Produse finite,1.0,0.0,True,True,Units,Units,,W3R-1A-4R1-T5/PX,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W3R-1R-4R1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W3R-1R-4R1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W3R-2R-4B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W3R-2R-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W3R-2R-6R1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W3R-2R-6R1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W3R-2R-7R2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W3R-2R-7R2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W3R-xx-3B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W3R-xx-3B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W4R-1A-020R1/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,W4R-1A-020R1/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W4R-xx-4B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W4R-xx-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-1A-050R1/GC,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-1A-050R1/GC,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-1A-4R1-T5/PX,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-1A-4R1-T5/PX,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-1A-6R1-T5/PX,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-1A-6R1-T5/PX,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-1A-7R1-T5/PX,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-1A-7R1-T5/PX,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-1A-7R-T5/PX,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-1A-7R-T5/PX,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-2A-4B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-2A-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-2A-5B3/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-2A-5B3/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-2R-4B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-2R-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-2R-7R/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-2R-7R/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-3R-5B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-3R-5B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-4R-4B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-4R-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-4R-7B3/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-4R-7B3/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-7R-4B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-7R-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-7R-7B3/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-7R-7B3/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-2R-4B2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-2R-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-2R-6R1/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-2R-6R1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-2R-7R2/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-2R-7R2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R2-xx-5B3/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R2-xx-5B3/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EVINOX MODUSAT  W7R-xx-5B3/1A,,Produse finite,1.0,0.0,True,True,Units,Units,,W7R-xx-5B3/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EXPANDOR MANUAL PT TEVI,,Obiecte de inventar,1.0,1714.46,True,True,Units,Units,,OBI00070,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EXPRESSOR NESPRESSO ESSENZA,,Obiecte de inventar,1.0,385.99,True,True,Units,Units,,OBI00071,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
EXTRACTOR PINI_MLX 11-03-0044_40 GRAMME_E,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00109,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FIERBATOR DAEWOO,,Obiecte de inventar,1.0,64.03,True,True,Units,Units,,OBI00072,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FISET METALIC 4 POLITE 90*40*180 CM,,Obiecte de inventar,1.0,817.19,True,True,Units,Units,,OBI00073,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FLANSA PLATA PN16 DN40 GALV. ( ZINCATA ) ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00553,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FLIPCHART MAGNETIC 100*70,,Obiecte de inventar,1.0,367.23,True,True,Units,Units,,OBI00074,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FLUDOR 1 MM 250 GR TIN ,,Materiale auxiliare,1.0,0.0,True,True,Units,Units,,E_00077,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FLUDOR 2 MM,,Materiale auxiliare,1.0,0.0,True,True,Units,Units,,Mpr_06894,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FOLIE PEE 2 MM (250 MP) (=soric),,Ambalaje,1.0,0.0,True,True,mp,mp,,E_00406,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FOLIE PEE 3mm,,Ambalaje,1.0,0.0,True,True,mp,mp,,E_200252,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FOLIE STRETCH,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_200250,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FORMATORI SI CONTRAPIESA D10,,Obiecte de inventar,1.0,934.04,True,True,Units,Units,,OBI00075,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FOTOLIU POUF FRIX,,Obiecte de inventar,1.0,284.5,True,True,Units,Units,,OBI00076,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"FRE 01-1854 OPTIMA COMPACT DN20 M/M 2.5, 1600 l/h, BULK",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00232,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FRE 01-1856 ..24V 0..10V 2.5MM ACTUATOR LIN WITH,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00264,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FRE 53-1404 OPTIMA COMPACT DN15 M/M/ HIGH 2.5,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00246,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FRIGIDER 2 USI ARCTIC,,Obiecte de inventar,1.0,731.92,True,True,Units,Units,,OBI00077,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
FRIGIDER MINIBAR 45 L,,Obiecte de inventar,1.0,309.99,True,True,Units,Units,,OBI00078,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Frontal inferior 540x530mm cu decupare_Izolatie CHHC,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00763,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Frontal superior 638x540mm cu decupare_Izolatie CHHC,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00761,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"G1""_IZOLATIE 2_KIT CONTORIZARE APA G1""-00_lipsa cod furnizor_(=555x320x75) ",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00476,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"G3/4""_IZOLATIE 1+IZOLATIE 2_KIT CONTORIZARE APA G3/4""-00_2 semicochilii_(=495x290x75x2 Units.) ",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00474,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1-1/2 INCH ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,EVI_00171,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1-1/2 inch-Tesnit BA U_3mm_D45xD25x3_( EVI_00171 ),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,GARNITURA 1-1/2 inch-Tesnit BA U_3mm,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1-1/4 inch-Tesnit BA U_3mm_D37xD25x3_( EVI_00009 ),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,GARNITURA 1-1/4 inch-Tesnit BA U_3mm,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1/2 INCH,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,EVI_00008,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1/2 INCH ( ETANSARE PE INEL )_D19xD15x3_FS200,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,GARNITURA 1/2 INCH ( ETANSARE PE INEL ),TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1/2 inch-Tesnit BA U_3mm_D18.5xD11x3_( EVI_00008 ) ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,GARNITURA 1/2 inch-Tesnit BA U_3mm,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 15x24x3,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00405,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 16x 6x 3 ( cauciuc-pt. HUBA ),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00087,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1 INCH,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,EVI_00007,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 1 inch-Tesnit BA U_3mm_D30xD21x3_( EVI_00007 ) ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,GARNITURA 1 inch-Tesnit BA U_3mm,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
GARNITURA 2 INCH_D56xD45x3_( EVI_00218 ),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,GARNITURA 2 INCH,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
